Nitrogen(pmm),Phosphorus(pmm),Potassium(mm),temperature(F),humidity,soil_ph,rainfall(mm),label
113,7,211,18.08510649,89.54547331,5.712243236,851.3911944,Carrots
179,55,157,26.27751195,86.71060271,6.518869088,449.8720522,onions
16,10,41,24.77464458,85.63608688,6.738993954,105.7595811,pomegranate
99,57,35,26.75754171,81.17734011,5.960370061,272.2999056,rice
11,46,24,27.65280218,89.80650642,6.459252023,56.52558045,greengram
7,73,25,27.52185591,63.13215259,7.28805662,45.20841071,lentil
31,20,30,32.17752026,54.01352682,6.207495815,91.88766069,mango
44,74,85,20.18649426,19.63719995,7.150681303,78.26039559,chickpea
216,67,138,73.91221955,56.88123381,6.005646271,45.51842775,coffee
65,60,43,21.97199397,81.89918197,5.658169482,227.3637009,rice
53,55,55,33.32315744,91.25271223,6.709668804,234.496633,papaya
28,79,16,24.70626432,60.26854183,6.052184881,53.12442925,lentil
3,60,19,25.74679443,40.7192594,4.820788186,100.7791633,pigeonpeas
25,132,198,22.31944084,90.85174383,5.732757516,100.1173443,apple
63,58,50,43.03714283,94.6428898,6.720744449,41.5856585,papaya
28,58,25,27.4818649,62.04814951,6.861640036,37.81123974,lentil
29,16,36,19.81069447,88.92944254,5.740338002,102.860084,pomegranate
104,2,241,19.80001701,84.89673124,6.939483655,833.6302255,Carrots
92,44,16,18.87751445,65.76816093,6.082973754,94.76189431,maize
117,79,49,25.40909896,82.36208097,6.176644228,112.9794804,banana
5,59,15,18.87492997,20.18238348,5.97229163,134.1811718,kidneybeans
29,8,28,26.87037587,91.72546257,6.100429497,214.4128874,coconut
4,134,200,28.57828803,80.95628959,5.840256272,73.34232097,grapes
69,37,42,23.05804872,83.37011772,7.073453503,251.0549998,rice
132,52,19,24.16402322,76.7433897,6.436691764,61.94626051,cotton
121,36,24,23.66457347,81.69105088,7.352401887,99.36898373,cotton
15,0.97,804,52.90284685,98.54884648,6.924431996,154.9458102,lettuce
186,61,110,15.01798179,78.47458068,6.888693515,75.087907,tomato
217,52,63,21.84700445,85.60691401,6.180147399,366.0508525,Cabbage
37,65,16,22.8352024,18.97267518,5.683548308,63.59276673,kidneybeans
150,52,157,27.22424858,81.437959,6.29198077,509.2553325,onions
82,25,51,24.31334971,87.47409052,6.074209622,48.11248366,watermelon
56,59,55,37.03551903,91.79430166,6.551892638,188.5181422,papaya
79,42,37,24.87300744,82.84022551,6.587918708,295.6094492,rice
88,55,45,24.63544858,80.41363018,7.730367824,253.7202781,rice
74,58,18,20.03728219,56.35606753,6.727303282,109.024141,maize
6,144,198,21.11478672,90.31528693,5.559363609,104.5086618,apple
34,47,19,27.31372793,85.44815232,6.568795404,53.15223123,greengram
234,51,82,22.91211518,85.75684539,6.261168826,341.7210876,Cabbage
0,137,195,22.4359017,80.18612085,6.329499832,65.3973168,grapes
134,121,102,24.95866706,63.48159602,6.627375264,27.17470987,tomato
9,59,24,20.43517772,39.37252634,4.747352458,137.2279662,pigeonpeas
158,54,167,27.36949127,87.83011035,6.4168034,513.4575192,onions
32,25,35,18.09903225,85.70786282,5.892913826,107.0050976,pomegranate
57,57,51,39.01793345,91.48815629,6.99223441,105.8841531,papaya
5,18,14,33.1056981,93.48447453,7.434118807,119.1709113,orange
204,66,81,22.43305081,60.30967118,6.446683696,322.9142635,Cabbage
102,71,48,28.65456263,79.28693687,5.695267822,102.4633775,banana
209,82,79,22.06378386,71.35029953,6.723759248,337.0296217,Cabbage
85,25,47,26.11440416,87.64081095,6.29542477,58.48160844,watermelon
33,61,24,20.04611791,48.93905624,4.567446499,122.4564203,pigeonpeas
230,73,77,17.91191337,73.16034149,6.645172613,345.3959427,Cabbage
107,58,15,23.73868041,75.77503808,7.55606399,76.63669195,cotton
91,94,46,29.36792366,76.24900101,6.149934034,92.82840911,banana
6,47,18,29.16174608,80.28038146,6.715276663,40.16545979,greengram
10,0.91,835,55.54076255,99.57288937,6.789322264,156.2854075,lettuce
31,55,22,22.91350245,21.33953114,5.873171894,109.225556,kidneybeans
101,10,47,25.5421695,83.31883376,6.936997681,57.57343233,watermelon
21,44,18,27.06909959,86.89934108,7.12851089,50.46746116,greengram
61,44,17,26.10018422,71.57476937,6.931756558,102.2662445,maize
11,0.89,703,54.54189515,99.64778783,6.611576535,158.2734086,lettuce
19,39,17,29.2808618,81.8009244,6.890156495,44.47427436,greengram
113,19,46,25.41864024,81.12122989,6.286387658,49.52320689,watermelon
218,57,67,21.60580564,85.25451241,6.538394693,364.6248304,Cabbage
10,78,18,18.54141834,62.70637578,6.296976913,44.07819743,lentil
230,117,131,23.50037642,56.60019593,6.215740192,70.64817877,tomato
22,138,195,27.83487131,83.51444973,6.208196881,73.02882766,grapes
77,58,19,22.8056033,56.50768935,5.791649933,101.5952794,maize
198,46,157,27.95775209,79.11606271,6.244612247,510.7588138,onions
5,29,44,21.02432943,93.0569505,5.578095745,104.7847006,pomegranate
122,40,17,24.96440768,81.31677618,6.854558957,80.03995829,cotton
72,40,38,20.41447029,82.20802629,7.592490617,245.1511304,rice
39,64,53,23.0124018,91.07355541,6.598860305,208.3357976,papaya
90,42,43,20.87974371,82.00274423,6.502985292,202.9355362,rice
92,81,52,28.0106804,76.52808057,5.891413895,103.7040783,banana
16,65,16,18.13027797,62.45851612,6.078724107,50.6128521,lentil
17,77,23,24.51324787,20.81527638,5.670062975,64.19497947,kidneybeans
25,57,19,17.15432954,19.87070659,5.566522896,87.99669731,kidneybeans
119,9,50,26.74550678,83.9195902,6.251286661,40.794305,watermelon
8,54,20,28.3340432,80.77275974,7.034214276,38.7976407,mungbean
1,29,29,27.32961444,49.30347234,6.052026047,93.53197359,mango
5,65,16,21.32776028,18.48522915,5.866744372,109.1013261,kidneybeans
6,69,19,26.88630675,41.69617915,4.750929218,94.46748008,pigeonpeas
95,74,50,25.90113128,80.47152737,6.002481605,110.10323,banana
88,78,45,29.10403455,79.19588629,6.324270089,92.07835761,banana
108,38,24,23.41022496,76.43836957,7.442217061,78.82199603,cotton
216,37,70,23.41747059,78.44089441,6.74997404,370.3859017,Cabbage
21,137,196,23.6119202,91.70293849,5.812781806,123.5900822,apple
93,56,42,23.85724032,82.22572988,7.382762603,195.0948311,rice
64,35,23,23.02038334,61.89472002,5.680361038,63.03843397,maize
120,87,52,28.0764455,76.05522115,5.905494703,118.9923573,banana
2,39,15,28.07219563,82.9116472,6.478557136,49.61865305,greengram
87,54,20,25.61707368,63.4711755,6.576418207,108.8303762,maize
34,140,198,21.70416965,93.44006288,5.751707342,115.1781396,apple
